588	22	132
15859	220	12
32771	2200	2
18153	221	15
46550	222	7
44615	223	8
22108	224	5
49573	225	4
35255	226	10
19148	227	16
44751	228	5
45554	229	5
3556	23	106
25852	230	7
17284	231	9
45711	232	6
17728	233	5
33930	234	6
29339	2345	5
48372	235	5
12430	236	12
13582	237	10
28726	238	8
33027	239	10
2723	24	192
26629	240	13
29054	241	6
17723	242	12
47316	243	4
16745	244	10
10141	245	5
45288	246	3
10646	247	8
18641	248	9
32111	249	9
50275	24K	3
2507	25	174
24485	250	11
11806	2500	4
17875	251	7
44737	252	12
29051	253	13
46481	254	5
13998	255	6
26191	256	10
24691	257	8
27629	258	11
20580	259	8
48917	25PP	1
4885	26	144
46480	260	12
34046	2600	2
34476	2606.0	1
38214	261	16
45454	262	7
22812	263	5
30556	264	14
44303	265	10
34146	266	10
24525	267	8
39179	268	6
10687	269	7
7899	27	74
24675	270	6
53163	271	3
4110	272	12
39909	273	9
29111	274	6
19907	275	10
43263	276	5
50045	277	4
19831	278	7
36198	279	5
1804	28	112
21134	280	6
29838	281	7
39259	282	5
31615	283	3
38460	284	4
27023	285	6
17037	286	5
40984	287	2
11271	288	7
4209	289	7
9406	29	64
21496	290	3
45270	291	5
36342	292	3
49676	293	6
37954	294	3
39572	295	3
47464	296	2
44962	297	2
47223	298	2
35647	299	6
35770	2A	2
49707	2Cd	2
12642	2D	38
22558	2G	6
41493	2K	5
27027	2M	2
43076	2iPhone	1
21429	3.0	18
4784	3.1	11
49194	3.11	1
36733	3.15	2
17369	3.2	8
17370	3.3	6
29769	3.31	1
30369	3.3757	1
35311	3.4	3
29770	3.5	8
29771	3.6	2
34477	3.7	2
48616	3.8	2
35599	3.9	3
34478	3.98	2
1425	30	357
1245	300	35
10373	3000	18
15224	301	4
48780	302	2
21928	304	3
44505	305	4
50195	306	2
44723	307	4
52102	308	3
38369	309	4
8317	31	58
35070	3100	2
9388	311	3
24689	312	2
31909	313	3
41281	314	4
31155	315	4
41980	316	4
23864	319	3
5574	32	79
32629	320	4
50808	323	3
33145	325	3
50899	328	2
17178	33	31
53298	334	2
23862	335	2
31580	337	2
965	34	41
8161	346	3
15770	35	58
26230	350	5
30800	3500	5
8223	35183336	1
39645	359	1
6865	36	55
1488	360	48
53283	364	1
17371	365	10
19507	37	8
45405	3721	3
40702	373	2
6165	38	33
27182	384	2
6946	39	20
53030	397	3
6166	3D	115
50747	3D0	1
52469	3DO	2
45764	3DS	3
5119	3G	8
53322	3G2	1
18404	3GP	18
43077	3GS	3
32797	3bi	2
47697	3g2	2
25828	3gp	4
43078	3iPhone	1
33476	3rd	2
21430	4.0	12
34479	4.1	6
48972	4.10	2
34480	4.11	2
8058	4.2	5
43079	4.3	3
27737	4.5	3
11040	4.6	2
43111	4.61	2
313	40	146
5454	400	20
23143	4000	3
17803	400K	1
34481	4020.236	1
29340	404	3
3806	407	2
9998	41	15
10501	42	26
11871	43	14
8489	4399	2
5627	44	12
5628	45	36
44458	450	2
39247	456	2
7205	46	18
40597	46000	1
35079	47	9
29795	479	2
17581	48	28
47450	4800	2
6634	49	21
12271	4G	2
41566	4M	2
43080	4S	2
3037	5.0	14
48973	5.07	1
11734	5.1	4
51437	5.24	1
51438	5.25	1
51439	5.26	1
20310	5.3	5
46323	5.36	1
41571	5.4	2
43894	5.82	2
1105	50	128
11930	500	26
22868	5000	12
33044	50000	2
52968	508	1
11442	51	29
35396	51060	2
50835	51088	1
8620	516	2
13825	52	52
17832	520	2
16794	53	3
43194	533	1
45618	5354	1
36985	54	7
6635	55	22
51363	55136	2
39940	5530	2
46055	555	2
5629	56	12
51010	567	1
22956	57	4
16915	57442	2
51076	577	1
32664	58	6
41210	59	7
3038	6.0	8
34482	6.1	4
7900	6.2	2
30177	6.3	4
29408	6.4	2
34483	6.5	2
25133	6.54	2
34674	6.56	2
52382	6.6	2
12272	6.8	3
23144	6.9	3
2	60	84
28271	600	10
34215	6000	2
32630	60s	2
16432	61	15
7146	62	4
16916	62984	2
29547	63	3
9888	64	28
32631	640	2
5630	65	12
6391	650	2
14099	66	5
21346	666	4
48840	66Call	1
33696	67	3
47173	68	2
40459	684	1
39690	69	5
34484	7.0	4
40598	7.1	4
42496	7.5	3
5920	70	58
50439	700	2
2724	7000	5
37243	71	5
17730	72	10
45213	720P	4
5078	73	5
25255	731	4
33537	747	3
6767	75	5
24378	76	4
6609	77	7
21907	777	2
34395	78	8
34686	79	3
46970	7X24	1
46101	7x24	2
37851	7z	2
12273	8.0	3
43142	8.1	3
34485	8.2	2
30370	8.4	4
25134	8.5	3
1426	80	93
3560	800	10
25135	8000	5
23661	81	8
16917	82	5
33705	83	4
30122	84	4
37598	842	2
13029	85	7
52146	850	1
17731	86	10
43119	876	1
31237	88	5
46898	890	1
30557	9.0	4
8224	9.3	2
50159	9.4	2
32988	9.6	3
44317	9.9	2
10474	90	42
16496	900	6
48199	90000	2
5455	900K	2
51030	90210	1
4785	91	21
35384	911	7
44628	9158	2
28170	918KB	2
11158	92	11
22796	93	13
36931	937	1
16103	94	7
14929	95	7
18520	96	6
9489	97	6
12274	970	2
20685	98	27
12205	99	20
52527	999	3
35086	9999	3
43081	9B206	1
44318	9PTV	1
30371	9X	2
46324	9x	6
19629	9you	6
34486	AAC	5
44098	AAuto	1
20130	ABC	5
28004	AC	3
29772	AC3	5
34487	ACM	1
3438	ACT	60
27381	ADSL	6
26992	AES	2
13255	AFF	2
41404	AI	6
33477	AK	2
16795	AKB48	2
50607	ALBANIAN	2
14185	ALT	3
49130	AM	1
7346	AMD	1
49581	AMV	3
50510	ANGEL	1
48304	ANN	2
53127	AOI	1
45959	AOM	2
51864	APE	4
17804	API	4
33896	APK	4
41865	APP	2
48577	ARP	1
39183	ARPG	4
18405	ASF	15
27609	ASOS	3
29454	ASP	2
49582	ASS	1
38774	ATV	5
24653	AV	10
49583	AVC	4
993	AVG	16
18406	AVI	24
49584	AVS	1
36020	Aamir	2
10280	Aaron	12
43035	Abbas	3
49536	Abbie	3
35704	Abe	2
51575	Abel	1
36548	Abigail	3
9223	Abraham	2
45636	Absolute	2
27828	Access	2
49830	Acclaim	2
18521	Ace	4
7347	Acer	2
53252	Achim	1
6119	Ackerman	3
39816	Acquire	2
44740	Acrobat	3
18937	ActiveX	3
19319	Activision	19
39960	Ad	2
26300	Ada	2
7453	Adam	23
35375	Adamo	1
3769	Adams	6
52794	Adjani	1
50500	Adjie	1
3977	Adler	3
44741	Adobe	3
1827	Adrian	10
28728	Adriana	2
36549	Adrien	3
49813	Adrienne	2
994	Advance	6
22227	Adventure	10
20516	Adventures	6
26175	Ae	1
36467	Affleck	2
12547	After	12
16567	Age	5
19713	Agetec	3
14361	Agosto	2
19878	Ahmed	3
10690	Ahuja	1
42421	Aidini	1
37950	Air	2
51500	Airbender	2
48622	Airin	1
37979	Aishwarya	4
50163	Akat	1
51322	Akay	1
44693	Akbar	1
